"id","url","title","description","status","suggested topic","contact name","contact email","alternate contact name","alternate contact email","contact form url"
"328","https://www.dealeron.com/contact-dealeron/","","Not yet sorted","unsorted","Empty","","","","",""
"329","https://www.dealerinspire.com/leadership/","","Not yet sorted","unsorted","Empty","","","","",""
"330","https://dealersocket.com/team","","Not yet sorted","unsorted","Empty","","","","",""
